,TIME,,,TAC,,,CELLID,,,PCI,,,ARFCN,,,RSRP,,,RSRQ,,,Latitude,,,Longitude,
,10/01/2020 20:01:15,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023543,,,79.902687,
,10/01/2020 20:01:39,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023538,,,79.902685,
,10/01/2020 20:01:40,,,-1,,,Error,,,0,,,0,,,0,,,0,,,0,,,0,
,10/01/2020 20:01:41,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023538,,,79.902685,
,10/01/2020 20:01:42,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023538,,,79.902685,
,10/01/2020 20:01:43,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023538,,,79.902685,
,10/01/2020 20:01:44,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023538,,,79.902685,
,10/01/2020 20:01:45,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023538,,,79.902685,
,10/01/2020 20:01:46,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023538,,,79.902685,
,10/01/2020 20:01:47,,,63530,,,29707,,,786 DCS 1800,,,0,,,Error,,,Error,,,7.023538,,,79.902685,
